,PO / SO #,ASN/DN #,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1715,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,1955.0,6923.3,116.15
1716,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test - Ancillary,Yes,61.0,1225.42,0.0
1717,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1815.0,6074.62,403.54
1718,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,167.0,1472.77,31.32
1719,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,14.0,896.55,0.92
1720,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,3858.0,12047.8,318.59
1721,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,368.1
1722,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,6260.71,461.76
1723,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,No,0.0,0.0,76.86
1724,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,No,0.0,0.0,691.2
1725,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,347.0,4220.15,201.23
1726,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,572.0,4152.56,52.85
1727,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,587.0,1153.97,169.66
1728,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,229.0,1774.3,77.42
1729,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,6684.0,29883.7,31.36
1730,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,132.0,1659.48,36.84
1732,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,49.0,1465.71,6.44
1733,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,3.0,978.92,0.77
1734,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,3787.0,4060.55,269.59
1735,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,585.0,5698.01,15.82
1736,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1364.0,21215.4,257.54
1737,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,127.0,4984.4,2.88
1738,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,6.12
1739,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,0.31
1740,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,231.0,4401.4,16.35
1741,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,262.0,2426.8,50.95
1742,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,6684.0,6269.7,399.2
1743,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,No,0.0,0.0,899.84
1744,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,7.0,747.5,3.19
1745,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,598.0,6338.09,5.94
1746,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,2773.0,2938.92,333.2
1747,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,7534.18,1311.71
1748,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,HRDT,HIV test,Yes,394.0,157.5,78.4
1749,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Pediatric,Yes,303.0,2989.45,4.92
1750,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Pediatric,No,0.0,0.0,32.03
1751,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,3190.0,14732.36,585.03
1752,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,315.0,6381.87,8.92
1753,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,No,0.0,0.0,59.6
1754,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,108.79
1755,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,666.0,4503.0,3.45
1756,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,136.89
1757,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,14041.17,2156.0
1758,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,6684.0,9001.03,882.91
1759,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,45.82
1760,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,32.0
1761,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,7199.72,1311.47
1762,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1583.0,6381.87,164.67
1763,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,205.0,2202.02,21.32
1764,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,240.39
1765,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,5511.0,7876.44,49.28
1766,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,8399.76,2532.82
1767,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,9.56
